date,sentiment_lex
2017-06-16,0.7188
2017-06-16,0.7854
2017-06-19,0.543
2017-06-29,0.7498
2017-07-11,0.769
2017-07-17,0.2645
2017-07-17,0.7419
2017-07-26,-0.1942
2017-07-27,0.7882
2017-08-14,0.8121
2017-08-14,0.6039
2017-08-23,0.6614
2017-08-28,0.4704
2017-09-06,0.6812
2017-09-11,0.7035
2017-09-20,0.5809
2017-09-25,0.5774
2017-09-25,0.4457
2017-09-27,0.748
2017-10-05,0.8921
2017-10-06,0.3973
2017-10-19,-0.1206
2017-10-24,0.2362
2017-10-26,0.1843
2017-10-27,0.2765
2017-10-27,0.2396
2017-10-30,0.3517
2017-11-07,0.5973
2017-11-09,0.8105
2017-11-10,-0.1356
2017-11-13,0.4232
2017-11-13,0.3675
2017-11-14,0.6845
2017-11-15,0.7721
2017-11-15,0.7407
2017-11-20,0.6173
2017-11-21,0.4601
2017-11-22,0.5996
2017-11-28,0.3848
2017-11-29,0.796
2017-11-29,0.753
2017-11-30,0.3473
2017-11-30,0.5795
2017-12-01,0.4724
2017-12-04,0.2078
2017-12-06,0.5776
2017-12-06,0.5622
2017-12-18,0.187
2017-12-18,0.5367
2017-12-26,0.6335
2017-12-26,0.4532
2018-01-02,0.6248
2018-01-02,0.2745
2018-01-04,0.8002
2018-01-05,0.7213
2018-01-05,0.2183
2018-01-09,0.5668
2018-01-12,0.2627
2018-01-16,0.1211
2018-01-16,0.7009
2018-01-16,0.6988
2018-01-18,0.6097
2018-01-18,0.5487
2018-01-19,0.7502
2018-01-25,0.7091
2018-01-26,0.5731
2018-01-29,0.5149
2018-02-01,0.776
2018-02-01,0.2428
2018-02-05,0.0964
2018-02-09,0.7005
2018-02-09,0.2725
2018-02-12,-0.1917
2018-02-12,0.2125
2018-02-13,0.851
2018-02-14,0.5625
2018-02-15,0.7933
2018-02-20,0.6855
2018-02-21,0.6688
2018-02-21,0.2555
2018-02-21,0.5245
2018-02-26,0.3804
2018-03-02,0.3153
2018-03-06,0.2802
2018-03-08,0.6518
2018-03-09,0.5272
2018-03-12,0.7258
2018-03-13,0.158
2018-03-13,0.4122
2018-03-15,0.5865
2018-03-19,0.7312
2018-03-20,0.4826
2018-03-20,0.6796
2018-03-22,0.5456
2018-03-23,0.4302
2018-03-26,0.6269
2018-03-26,0.5296
2018-03-27,0.8735
2018-03-28,-0.5265
2018-03-28,-0.0212
2018-03-29,0.2621
2018-03-29,0.5235
2018-03-29,0.2313
2018-04-02,0.4465
2018-04-03,0.4278
2018-04-03,-0.4217
2018-04-03,0.451
2018-04-03,0.2141
2018-04-04,0.6483
2018-04-05,0.8732
2018-04-06,0.6278
2018-04-06,0.7807
2018-04-09,-0.1139
2018-04-11,0.713
2018-04-12,0.6457
2018-04-13,0.4113
2018-04-17,0.564
2018-04-23,0.5145
2018-04-24,0.7702
2018-04-25,-0.1095
2018-04-25,0.8212
2018-04-26,0.3384
2018-04-26,0.672
2018-04-26,0.1843
2018-04-26,0.7406
2018-04-27,0.601
2018-05-01,0.7659
2018-05-02,0.2949
2018-05-07,0.7416
2018-05-14,0.3887
2018-05-15,0.4899
2018-05-15,0.7028
2018-05-18,0.331
2018-05-22,0.0557
2018-06-04,0.432
2018-06-05,0.6944
2018-06-06,0.2075
2018-06-21,0.3146
2018-06-25,0.5797
2018-06-25,0.3919
2018-06-26,0.8479
2018-07-09,0.3584
2018-07-12,0.8667
2018-07-13,0.4875
2018-07-17,0.5336
2018-07-18,0.7547
2018-07-20,0.6404
2018-07-23,0.1566
2018-07-26,0.7875
2018-07-26,0.1843
2018-07-26,0.465
2018-07-27,0.7934
2018-08-13,0.632
2018-08-16,0.653
2018-08-29,0.4257
2018-08-29,0.4542
